accountsservice 0.6.55-3
s-nail 14.9.22-1
samba 4.14.0-1
screenfetch 3.9.1-1
sed 4.8-1
shadow 4.8.1-4
snapd 2.49.1-1
snapd-glib 1.54-1
spectre-meltdown-checker 0.43-1
steam-manjaro 1.0.0.69-1
sudo 1.9.6.p1-1
sysfsutils 2.1.1-1
systemd-fsck-silent 239-1
systemd-sysvcompat 247.4-1
tar 1.34-1
terminator 2.1.0-2
terminus-font 4.49.1-1
texinfo 6.7-3
texlive-bibtexextra 2020.56991-1
texlive-fontsextra 2020.57042-1
texlive-formatsextra 2020.56699-1
texlive-games 2020.56833-1
texlive-humanities 2020.57034-1
texlive-latexextra 2020.57067-1
texlive-music 2020.56473-1
texlive-pictures 2020.57065-1
texlive-pstricks 2020.56758-1
texlive-publishers 2020.57058-1
texlive-science 2020.57068-1
thunar 4.16.5-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
thunderbird 78.8.1-1
timeshift 20.11.1.r3.g08d0e59-2
tk 8.6.11.1-1
tlp 1.3.1-2
tree-sitter 0.19.3-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-9
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-11
ttf-liberation 2.1.3-1
ttf-meslo-nerd-font-powerlevel10k 20200322-1
ttf-nerd-fonts-symbols-mono 2.1.0+36+gd0bf73a1-2
tumbler 4.16.0-2
udiskie 2.3.3-1
udisks2 2.9.2-1
unace 2.5-11
unrar 1:6.0.4-1
usb_modeswitch 2.6.1-1
usbutils 013-1
util-linux 2.36.2-1
vi 1:070224-4
viewnior 1.7-3
vlc 3.0.12-2
vulkan-intel 20.3.4-3
vulkan-radeon 20.3.4-3
wallpapers-2018 1.2-1
wallpapers-juhraya 1.1-2
wget 1.21.1-1
which 2.21-5
wlroots 0.12.0-1
wpa_supplicant 2:2.9-8
xclip 0.13-3
xcursor-simpleandsoft 0.2-9
xcursor-vanilla-dmz-aa 0.4.5-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 0.30.0-1
xf86-input-void 1.4.1-5
xf86-video-amdgpu 19.1.0-2
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xfburn 0.6.2-1
xfce4-appfinder 4.16.1-1
xfce4-battery-plugin 1.1.3-2
xfce4-clipman-plugin 1.6.1-1
xfce4-cpufreq-plugin 1.2.5-1
xfce4-cpugraph-plugin 1.2.3-1
xfce4-dict 0.8.4-1
xfce4-diskperf-plugin 2.6.3-1
xfce4-fsguard-plugin 1.1.2-1
xfce4-genmon-plugin 4.1.1-1
xfce4-mailwatch-plugin 1.3.0-1
xfce4-mount-plugin 1.1.5-1
xfce4-mpc-plugin 0.5.2-2
xfce4-netload-plugin 1.4.0-1
xfce4-notes-plugin 1.9.0-1
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.2-1
xfce4-power-manager 4.16.0-2
xfce4-pulseaudio-plugin 0.4.3-1.1
xfce4-screenshooter 1.9.8-1
xfce4-sensors-plugin 1.3.95-1
xfce4-session 4.16.0-1
xfce4-settings 4.16.0-1
xfce4-smartbookmark-plugin 0.5.2-1
xfce4-systemload-plugin 1.3.0-1
xfce4-taskmanager 1.4.2-1
xfce4-terminal 0.8.10-1
xfce4-time-out-plugin 1.1.2-1
xfce4-timer-plugin 1.7.1-1
xfce4-verve-plugin 2.0.1-1
xfce4-wavelan-plugin 0.6.2-1
xfce4-weather-plugin 0.11.0-1
xfce4-whiskermenu-plugin 2.5.3-1
xfce4-xkb-plugin 0.8.2-1
xfconf 4.16.0-1
xfdesktop 4.16.0-1
xfsprogs 5.10.0-2
xfwm4 4.16.1-1
xiccd 0.3.0-1
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.10-3
xorg-twm 1.0.11-1
xorg-xinit 1.4.1-3
xorg-xwayland 21.0.99.902-1
yelp 3.38.3-1
zensu 0.3-1
